REGISTRE;F1;P1;P1A;P1B;P2;P2A;P2B;P3;P4_1;P4_2;P4_3;P4_4;P4_5;P4_6;P4_7;P4_8;P4_9;P4_10;P4_11;P4_12;P4_95;P4_98;P4_99;P5A;P5B;P5C;P5D;P5E;P5F;P5G;P5H;P5I;P5J;P5K;P5L;P5M;P5N;P5O;P5P;P5Q;P5R;P6;P7;P8;ID0;ID1;ID2;ID3;ID4_1;ID4_2;ID5;ID5_1;ID6;ID7;USU;RFD_GB;POND
31;1;2; ;5;1;1; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;1;2;2;1;2;2;1;2;1;1;1;1;3;1;1;3;3;1;32;2;3;12;2;3;4;84,5;,38
32;1;1;2; ;1;1; ;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;1;1;1;2;1;2;2;1;2;2;2;3;2;1;3;3;2;39;3;3;208;4;5;1;84,5;,38
33;1;2; ;3;2; ; ;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3; ;1;3;3;1;52;4;1; ;2;2;5;84,5;,38
34;1;2; ;6;1;2;3;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;3;1;48;4;1; ;3;4;6;84,5;,38
35;1;1;1; ;1;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;2;1;1;2;2;2;2;2;2;1;1;2;1;1;1;3;1;1;3;3;1;45;4;1; ;2;4;3;84,5;,38
36;1;1;1; ;1;1; ;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;3;1;2;1;3;3;2;31;2;1; ;1;5;2;84,5;,38
37;1;1;1; ;1;1; ;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;1;1;2;2;2;1;2;2;2;1;1;2;2;2;3; ;1;3;3;1;55;5;1; ;1;3;2;84,5;,38
38;1;1;1; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;1;1;1;2;2;2;2;2;2;1;2;2;1;2;3;1;1;3;3;2;62;5;1; ;3;2;3;84,5;,38
39;1;1;1; ;1;1; ;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;2;2;2;2;1;2;2;2;1;2;2;1;3;3;1;1;3;3;2;67;6;1; ;3;4;3;84,5;,38
40;1;2; ;2;1;1; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4; ; ;1;3;3;2;64;5;1; ;3;2;5;84,5;,38
41;1;1;2; ;1;1; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3; ;1;3;3;2;59;5;1; ;3;4;5;84,5;,38
42;1;1;2; ;1;1; ;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;1;1;2;1;2;2;2;1;1;2;2;2;3;2;1;3;3;2;38;3;1; ;1;4;1;84,5;,38
43;1;2; ;6;2; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;3;1;73;6;1; ;3;2;6;84,5;,38
44;1;2; ;6;2; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;3;2;50;4;1; ;3;2;6;84,5;,38
45;1;2; ;4;1;1; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;3;3;1;18;1;3;586;1;3;4;84,5;,38
46;1;2; ;2;2; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;3;1;51;4;1; ;2;2;6;84,5;,38
47;1;1;1; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;3;1;20;1;3;380;5;4;3;84,5;,38
48;1;1;1; ;1;1; ;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;98;1;3;3;1;26;2;3;643;1;5;2;84,5;,38
49;1;1;1; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;3;1;1;3;3;1;36;3;3;586;1;2;3;84,5;,38
50;1;1;2; ;1;1; ;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;2;1;2;2;1;1;2;1;2;1;2;2;1;2;1;2;2;1;3;3;1;3;3;2;27;2;1; ;2;3;1;84,5;,38
51;1;1;2; ;1;1; ;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;1;3;3;1;40;3;1; ;1;4;4;84,5;,38
52;1;1;1; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;3;3;2;5;5;1;42;3;1; ;1;5;3;104,5;,78
53;1;1;1; ;1;1; ;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;2;1;3;1;2;2;5;5;2;66;6;1; ;3;4;3;104,5;,78
54;1;1;1; ;1;1; ;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;2;1;2;1;2;2;2;2;1;2;2;3;3;2;2;5;5;2;47;4;1; ;1;4;3;104,5;,78
55;1;1;2; ;2; ; ;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2; ;2;5;5;1;72;6;1; ;3;5;4;104,5;,78
